merged_ID	child_1	child_2
node_1	a.t_motifs_m179_AT2G03340	a.t_motifs_m233_AT2G38470
node_2	a.t_motifs_m367_AT3G56400	a.t_motifs_m66_AT1G30650
node_3	a.t_motifs_m389_AT4G01250	a.t_motifs_m575_AT5G52830
node_4	a.t_motifs_m204_AT2G23320	a.t_motifs_m425_AT4G23550
node_5	a.t_motifs_m114_AT1G62300	a.t_motifs_m424_AT4G22070
node_6	a.t_motifs_m428_AT4G24240	a.t_motifs_m443_AT4G31550
node_7	a.t_motifs_m216_AT2G30590	a.t_motifs_m63_AT1G29860
node_8	a.t_motifs_m504_AT5G13080	node_2
node_9	a.t_motifs_m214_AT2G30250	node_1
node_10	node_4	node_7
node_11	a.t_motifs_m208_AT2G24570	node_6
node_12	a.t_motifs_m489_AT5G07100	node_8
node_13	a.t_motifs_m259_AT2G46400	a.t_motifs_m62_AT1G29280
node_14	a.t_motifs_m257_AT2G46130	node_11
node_15	node_3	node_12
node_16	node_9	node_10
node_17	a.t_motifs_m248_AT2G44745	a.t_motifs_m525_AT5G22570
node_18	a.t_motifs_m121_AT1G66600	a.t_motifs_m579_AT5G56270
node_19	node_13	node_16
node_20	a.t_motifs_m413_AT4G18170	node_15
node_21	a.t_motifs_m168_AT1G80840	a.t_motifs_m555_AT5G46350
node_22	a.t_motifs_m445_AT4G31800	node_19
node_23	a.t_motifs_m198_AT2G21900	a.t_motifs_m271_AT3G01970
node_24	a.t_motifs_m472_AT5G01900	node_18
node_25	a.t_motifs_m433_AT4G26640	node_20
node_26	node_14	node_21
node_27	a.t_motifs_m239_AT2G40740	a.t_motifs_m529_AT5G24110
node_28	a.t_motifs_m535_AT5G26170	node_23
node_29	node_25	node_26
node_30	a.t_motifs_m209_AT2G25000	node_17
node_31	a.t_motifs_m132_AT1G69310	node_22
node_32	node_28	node_31
node_33	node_27	node_29
node_34	a.t_motifs_m547_AT5G41570	node_33
node_35	node_32	node_34
node_36	node_24	node_30
node_37	a.t_motifs_m395_AT4G01720	a.t_motifs_m396_AT4G04450
node_38	a.t_motifs_m266_AT2G47260	node_36
node_39	node_35	node_38
node_40	node_37	node_39
node_41	node_5	node_40
node_42	a.t_motifs_m183_AT2G04880	node_41
