merged_ID	child_1	child_2
node_1	a.t_motifs_m476_AT5G03150	a.t_motifs_m9_AT1G03840
node_2	a.t_motifs_m261_AT2G46590	a.t_motifs_m602_AT5G63260
node_3	a.t_motifs_m30_AT1G14580	node_1
node_4	a.t_motifs_m175_AT2G02080	a.t_motifs_m613_AT5G66730
node_5	a.t_motifs_m362_AT3G52440	node_2
node_6	a.t_motifs_m213_AT2G28810	a.t_motifs_m474_AT5G02460
node_7	a.t_motifs_m600_AT5G62940	a.t_motifs_m61_AT1G29160
node_8	a.t_motifs_m116_AT1G64620	a.t_motifs_m348_AT3G47500
node_9	a.t_motifs_m109_AT1G55110	node_4
node_10	a.t_motifs_m174_AT2G02070	a.t_motifs_m359_AT3G50700
node_11	a.t_motifs_m229_AT2G37590	a.t_motifs_m588_AT5G60850
node_12	a.t_motifs_m170_AT2G01570	node_3
node_13	a.t_motifs_m358_AT3G50410	node_6
node_14	node_9	node_10
node_15	node_7	node_8
node_16	a.t_motifs_m344_AT3G45610	a.t_motifs_m366_AT3G55370
node_17	a.t_motifs_m543_AT5G39660	a.t_motifs_m89_AT1G47655
node_18	a.t_motifs_m255_AT2G45660	a.t_motifs_m515_AT5G17430
node_19	a.t_motifs_m303_AT3G13810	node_12
node_20	node_5	node_17
node_21	a.t_motifs_m421_AT4G21040	a.t_motifs_m422_AT4G21080
node_22	a.t_motifs_m100_AT1G51700	a.t_motifs_m420_AT4G21030
node_23	node_15	node_16
node_24	node_14	node_19
node_25	a.t_motifs_m296_AT3G12130	node_20
node_26	a.t_motifs_m467_AT4G38000	node_13
node_27	a.t_motifs_m173_AT2G01940	node_24
node_28	a.t_motifs_m135_AT1G69570	node_23
node_29	a.t_motifs_m614_AT5G66940	node_26
node_30	node_11	node_25
node_31	node_22	node_28
node_32	node_18	node_29
node_33	node_21	node_30
node_34	node_31	node_32
node_35	a.t_motifs_m92_AT1G49480	node_27
node_36	a.t_motifs_m587_AT5G60130	node_34
node_37	a.t_motifs_m427_AT4G24020	node_35
node_38	node_36	node_37
node_39	node_33	node_38
