merged_ID	child_1	child_2
node_1	a.t_motifs_m167_AT1G79580	a.t_motifs_m399_AT4G10350
node_2	a.t_motifs_m437_AT4G28500	a.t_motifs_m439_AT4G29230
node_3	a.t_motifs_m60_AT1G28470	node_2
node_4	a.t_motifs_m598_AT5G62380	node_1
node_5	a.t_motifs_m24_AT1G12260	a.t_motifs_m456_AT4G36160
node_6	a.t_motifs_m275_AT3G03200	a.t_motifs_m306_AT3G15170
node_7	a.t_motifs_m505_AT5G13180	a.t_motifs_m518_AT5G18270
node_8	a.t_motifs_m556_AT5G46590	a.t_motifs_m611_AT5G66300
node_9	a.t_motifs_m118_AT1G65910	a.t_motifs_m314_AT3G18400
node_10	a.t_motifs_m288_AT3G10480	node_9
node_11	a.t_motifs_m542_AT5G39610	a.t_motifs_m75_AT1G34180
node_12	a.t_motifs_m73_AT1G32870	node_6
node_13	a.t_motifs_m108_AT1G54330	node_4
node_14	node_10	node_12
node_15	a.t_motifs_m576_AT5G53950	a.t_motifs_m76_AT1G34190
node_16	a.t_motifs_m207_AT2G24430	node_7
node_17	a.t_motifs_m278_AT3G04060	a.t_motifs_m491_AT5G07680
node_18	node_5	node_11
node_19	a.t_motifs_m412_AT4G17980	node_3
node_20	a.t_motifs_m39_AT1G19040	node_14
node_21	a.t_motifs_m353_AT3G49530	a.t_motifs_m393_AT4G01550
node_22	a.t_motifs_m392_AT4G01540	a.t_motifs_m6_AT1G02230
node_23	a.t_motifs_m289_AT3G10490	a.t_motifs_m70_AT1G32510
node_24	a.t_motifs_m290_AT3G10500	a.t_motifs_m310_AT3G15510
node_25	a.t_motifs_m301_AT3G12910	a.t_motifs_m545_AT5G39820
node_26	a.t_motifs_m313_AT3G17730	node_16
node_27	node_8	node_20
node_28	node_17	node_23
node_29	a.t_motifs_m102_AT1G52880	a.t_motifs_m309_AT3G15500
node_30	a.t_motifs_m246_AT2G43000	node_25
node_31	node_18	node_19
node_32	node_24	node_27
node_33	a.t_motifs_m156_AT1G76420	node_26
node_34	node_13	node_28
node_35	a.t_motifs_m188_AT2G18060	node_31
node_36	node_33	node_34
node_37	node_21	node_22
node_38	a.t_motifs_m603_AT5G64060	a.t_motifs_m7_AT1G02250
node_39	node_32	node_35
node_40	a.t_motifs_m263_AT2G46770	node_39
node_41	a.t_motifs_m176_AT2G02450	node_15
node_42	node_36	node_38
node_43	node_37	node_40
node_44	a.t_motifs_m4_AT1G01720	node_29
node_45	node_42	node_43
node_46	node_41	node_45
node_47	a.t_motifs_m211_AT2G27300	node_46
node_48	node_30	node_44
node_49	node_47	node_48
